#Frame           SHP2       ligand
       1       0.0000       0.0000
       2       0.1832       0.5292
       3       0.1811       0.5457
       4       0.2973       0.3516
       5       0.2908       0.4825
       6       0.6572       0.6232
       7       0.7022       0.4043
       8       1.0132       0.6585
       9       1.2493       0.5280
      10       1.0195       0.6837
      11       1.0769       0.6903
      12       1.2808       1.1761
      13       1.5005       0.6605
      14       1.4513       0.6146
      15       1.4766       0.4327
      16       1.5620       1.1032
      17       1.6064       0.7261
      18       1.7587       1.8057
      19       1.8042       0.7242
      20       1.6276       1.0726
      21       1.4651       1.1998
      22       1.6439       1.2851
      23       1.6656       1.7392
      24       1.8864       1.6042
      25       1.7707       1.4871
      26       1.7503       1.4961
      27       2.1064       1.9389
      28       1.8252       1.5614
      29       1.8394       1.3166
      30       1.9401       1.8988
      31       2.0983       1.6362
      32       2.2361       1.8068
      33       2.1770       1.2918
      34       1.9748       1.4478
      35       2.1670       1.2144
      36       2.0455       1.4695
      37       2.2419       1.1912
      38       2.0638       1.2719
      39       1.7415       1.4899
      40       1.8349       1.4299
      41       1.7428       0.9527
      42       1.8198       1.1107
      43       1.8728       1.2269
      44       1.9220       1.8212
      45       1.9729       1.9619
      46       1.8924       0.8931
      47       1.6938       1.0388
      48       1.7415       1.0305
      49       1.8093       0.8009
      50       1.5483       0.7749
      51       1.9298       1.2829
      52       1.8635       1.0698
      53       1.6381       1.1076
      54       2.0058       0.7879
      55       2.2283       0.9039
      56       1.9840       1.3377
      57       2.0102       1.2251
      58       1.8554       0.9804
      59       1.9763       0.9126
      60       2.1370       0.9739
      61       2.4158       0.9986
      62       2.5042       1.1776
      63       2.6582       0.8911
      64       2.6207       1.6891
      65       2.4430       1.3848
      66       1.9653       1.1814
      67       2.1128       1.4355
      68       2.1208       0.9707
      69       2.1598       1.5842
      70       2.2406       1.3769
      71       2.2597       1.6469
      72       2.1686       1.5001
      73       1.9806       1.4080
      74       2.3103       1.2498
      75       2.1539       1.3442
      76       2.0042       1.2125
      77       2.1427       1.6215
      78       2.1492       1.2261
      79       2.2427       1.4389
      80       2.1959       1.5141
      81       2.0840       1.5900
      82       2.0891       1.8184
      83       2.3726       1.6053
      84       2.4864       2.0516
      85       2.3946       1.3949
      86       2.5491       1.1886
      87       2.5445       0.8161
      88       2.5835       1.1851
      89       2.3354       0.7667
      90       2.4838       1.2426
      91       2.3750       1.3051
      92       2.4702       1.2453
      93       2.2727       1.1909
      94       2.3632       1.4633
      95       2.6775       1.3329
      96       2.5344       1.2574
      97       2.3795       1.0987
      98       2.6875       1.1599
      99       2.5332       1.3975
     100       2.6218       1.5264
     101       2.6690       1.6782
     102       2.9203       1.8348
     103       2.9364       2.0758
     104       2.5368       1.2781
     105       2.7245       1.5021
     106       2.5595       1.4088
     107       2.5760       1.0857
     108       2.6631       1.1939
     109       2.4498       1.2432
     110       2.5503       1.4943
     111       2.5381       2.1230
     112       2.3073       1.2421
     113       2.3109       1.8748
     114       2.3291       1.6575
     115       2.5002       1.6989
     116       2.5106       1.3565
     117       2.4092       1.1057
     118       2.2455       1.1999
     119       2.2684       1.3800
     120       2.2620       1.4573
     121       2.0947       1.3984
     122       2.1221       1.3529
     123       2.1049       1.8767
     124       2.1792       1.2542
     125       2.3122       1.3982
     126       2.5187       1.5913
     127       2.3471       1.1696
     128       2.4235       1.0665
     129       2.6525       1.6000
     130       2.5128       1.1383
     131       2.4646       1.0913
     132       2.5063       1.0066
     133       2.6351       0.9784
     134       2.7338       1.4030
     135       2.5152       1.3124
     136       2.7096       1.2265
     137       2.7359       1.3502
     138       2.4462       1.3192
     139       2.1731       1.4231
     140       2.2958       1.2598
     141       2.4378       1.3526
     142       2.3445       1.2049
     143       2.3225       1.4494
     144       2.4658       1.0647
     145       2.4031       1.3318
     146       2.4727       1.7284
     147       2.7471       1.4885
     148       2.5736       1.6304
     149       2.6694       1.2629
     150       2.9137       2.9113
     151       3.0323       2.6314
     152       2.6787       2.5013
     153       2.6487       1.5653
     154       2.6203       1.5849
     155       2.9093       2.2641
     156       2.8405       2.9728
     157       2.9367       2.2648
     158       3.1167       2.2444
     159       3.1560       1.7644
     160       2.8592       1.4355
     161       2.4672       1.4370
     162       2.3698       0.7583
     163       2.2497       1.5171
     164       2.3740       0.8360
     165       2.4164       1.4294
     166       2.7808       1.9165
     167       2.7038       1.8867
     168       2.2430       1.0301
     169       2.2303       1.1625
     170       2.3469       0.9843
     171       2.3627       1.6283
     172       2.3347       0.5456
     173       2.4905       1.2696
     174       2.3037       1.0578
     175       2.2348       1.4020
     176       2.3116       1.3012
     177       2.1447       1.8577
     178       2.3373       1.6065
     179       2.4786       0.7352
     180       2.5554       0.7601
     181       2.1190       1.0837
     182       2.2044       0.6628
     183       2.3420       0.5703
     184       2.5603       0.6472
     185       2.6418       0.6036
     186       2.5907       1.2134
     187       2.5773       0.9610
     188       2.4620       1.0663
     189       2.4165       0.8479
     190       2.3012       0.7867
     191       2.3544       0.9574
     192       2.0903       0.6874
