#Frame             c1
       1            0
       2            3
       3           -1
       4            0
       5            1
       6            4
       7            1
       8           -1
       9           -1
      10           -1
      11            1
      12            1
      13           -1
      14            5
      15            5
      16            5
      17           -1
      18            4
      19            3
      20            6
      21           -1
      22            0
      23            0
      24            0
      25            0
      26            0
      27            0
      28            0
      29            0
      30            0
      31           -1
      32            0
      33            7
      34            7
      35            0
      36            0
      37            0
      38            0
      39            0
      40            0
      41            0
      42           -1
      43            0
      44            0
      45            0
      46            0
      47            0
      48            0
      49            0
      50            0
      51            0
      52            0
      53            0
      54            0
      55            0
      56            0
      57            0
      58            0
      59            0
      60            0
      61            0
      62            0
      63            0
      64            0
      65           -1
      66            0
      67            0
      68           -1
      69            0
      70            0
      71            0
      72            0
      73            0
      74            0
      75            0
      76           -1
      77            2
      78            2
      79            2
      80            2
      81            0
      82            3
      83            4
      84            0
      85            0
      86            0
      87            0
      88            0
      89            0
      90            0
      91            6
      92            0
      93            0
      94            0
      95            0
      96            0
      97            0
      98            0
      99            0
     100            0
