#Frame           SHP2       ligand
       1       0.0000       0.0000
       2       0.0597       0.1137
       3       0.1537       0.5801
       4       0.2726       0.4160
       5       0.8064       0.6948
       6       1.4893       1.0815
       7       1.3304       1.3396
       8       1.6378       1.1380
       9       1.6453       1.5216
      10       1.8880       1.9262
      11       1.3697       1.4037
      12       1.7201       1.3384
      13       1.8839       1.1736
      14       1.9587       1.2979
      15       1.5664       1.5562
      16       1.7203       1.1590
      17       1.7319       1.8640
      18       1.6020       1.3187
      19       1.6217       1.6959
      20       1.9567       1.8376
      21       1.7568       1.7316
      22       1.8175       1.1183
      23       2.3291       1.9893
      24       2.0739       1.5671
      25       1.9095       1.1471
