#Frame           SHP2       ligand
       1       0.0000       0.0000
       2       0.1793       0.4563
       3       0.1799       0.4810
       4       0.2855       0.3540
       5       0.2866       0.4920
       6       0.6778       1.1981
       7       0.7353       1.0448
       8       1.1999       0.8078
       9       1.6255       0.9614
      10       1.4893       0.7986
      11       1.3471       1.0686
      12       1.6637       0.9235
      13       1.6510       1.0017
      14       1.7678       0.9892
      15       1.5997       0.7850
      16       1.8583       0.7174
      17       1.6999       0.6274
      18       1.7038       0.6402
      19       1.7630       1.0861
      20       1.7678       0.9643
      21       1.6087       0.9990
      22       1.7865       0.8074
      23       1.8610       1.3244
      24       1.8230       0.9059
      25       1.8313       0.9192
      26       1.5747       0.6557
      27       1.5095       0.6874
      28       1.6244       0.6985
      29       1.6363       0.8641
      30       1.6532       0.6154
      31       1.6339       0.8217
      32       1.6392       0.6799
      33       1.6031       0.7611
      34       1.8064       0.5341
      35       1.6987       0.4216
      36       1.5776       0.6543
      37       1.6632       0.8623
      38       1.8047       1.0998
      39       1.7119       0.8714
      40       1.7078       0.7986
      41       1.7953       0.9122
      42       1.6180       0.5059
      43       1.7004       1.1125
      44       1.7517       0.6671
      45       2.0268       0.8521
      46       1.9901       0.8938
      47       1.8075       1.0204
      48       1.9310       0.9101
      49       1.8865       0.8773
      50       1.9636       0.6374
      51       2.0069       0.6498
      52       2.0338       0.9031
      53       1.9700       0.5723
      54       1.8982       0.9052
      55       1.8294       0.9602
      56       1.8947       0.6790
      57       1.8583       0.9953
      58       2.1354       1.2258
      59       2.0329       1.2673
      60       2.1828       1.2098
      61       1.7861       1.1160
      62       1.9941       1.4491
      63       2.3857       1.7187
      64       2.1758       1.5883
      65       2.0913       1.4752
      66       2.3578       1.7087
      67       2.5493       2.0574
      68       2.1789       1.2977
      69       2.0754       1.1696
      70       1.9361       0.5056
      71       1.8376       0.5579
      72       1.7956       0.7325
      73       1.9007       0.6598
      74       1.8328       1.0287
      75       1.8440       0.8083
      76       1.9301       1.0989
      77       1.7317       0.5867
      78       1.7474       0.3111
      79       1.8774       0.9834
      80       1.8502       1.1865
      81       1.8347       0.9861
      82       2.0721       1.6796
      83       2.0089       1.5750
      84       1.9254       1.4393
      85       2.1293       1.7366
      86       2.0031       0.8409
      87       2.2527       0.8599
      88       2.3947       0.9922
      89       2.1451       0.8558
      90       2.5087       1.1217
      91       2.3183       0.8133
      92       2.2185       0.9264
      93       2.1929       1.1103
      94       2.0417       0.9544
      95       2.6652       2.3326
      96       2.4704       1.8513
      97       2.5641       2.1895
      98       2.6125       2.3714
      99       2.6247       1.7108
     100       2.4166       1.7799
     101       2.7026       1.7847
     102       2.5505       1.9656
     103       2.4285       1.3396
     104       2.2887       1.4833
     105       2.2143       1.7757
     106       2.1967       1.7870
     107       2.0316       1.7441
     108       2.0548       1.3005
     109       2.2823       1.5571
     110       2.1187       1.3981
     111       2.0696       1.5350
     112       2.2235       1.5664
     113       2.3633       1.7942
     114       2.2063       1.7214
     115       2.5363       1.6362
     116       2.3713       1.8206
     117       2.3323       1.8088
     118       2.2758       1.5543
     119       2.1557       1.3420
     120       2.3988       1.4195
     121       2.5746       2.3422
     122       2.5720       1.3547
     123       2.8298       1.7458
     124       2.6599       1.6801
     125       2.4802       1.4700
     126       2.9578       1.6905
     127       2.7252       2.2443
     128       2.7140       1.9560
     129       2.6729       1.3097
     130       2.5479       1.5050
     131       2.3691       1.0950
     132       2.3611       1.4971
     133       2.6849       2.0570
     134       2.5918       2.0199
     135       2.6470       1.5200
     136       2.6330       1.5319
     137       2.4972       1.4212
     138       2.7688       1.9156
     139       2.6880       2.1001
     140       2.3419       1.9491
     141       2.3424       1.1543
     142       2.3262       1.1954
     143       2.7232       1.9177
     144       2.8131       2.0834
     145       2.7491       1.7179
     146       2.7799       1.3328
     147       2.9073       2.8911
     148       2.8334       1.7441
     149       2.6834       1.2580
     150       2.8157       1.6147
     151       3.0297       1.5415
     152       2.6245       1.5283
     153       2.4264       1.2844
     154       2.6860       1.8053
     155       3.1953       2.0047
     156       2.9725       2.0245
     157       2.8570       1.9880
     158       2.8465       1.5150
     159       2.9517       1.8005
     160       2.8271       1.5493
     161       2.9865       1.9044
     162       3.0164       2.4053
     163       2.9666       1.9079
     164       2.9026       1.7186
     165       2.9723       1.6043
     166       3.0474       2.3419
     167       2.8115       1.8741
     168       2.8780       1.6338
     169       2.7892       2.2218
     170       3.0084       2.4967
     171       3.2143       2.6116
     172       3.2763       2.3706
     173       3.1932       2.2058
     174       3.2220       2.1523
     175       2.9837       2.0282
     176       3.0636       2.2185
     177       3.0007       2.2416
     178       2.7737       2.0444
     179       3.0294       2.3677
     180       2.9933       2.5051
     181       3.1424       1.7004
     182       3.2544       2.1429
     183       3.1741       1.7475
     184       3.4397       2.0962
     185       3.4452       2.1851
     186       3.3737       2.0640
     187       3.2157       1.9906
     188       3.1554       1.8871
     189       3.2867       2.1624
     190       3.4829       2.0151
     191       3.3628       1.7016
     192       3.0626       1.6555
     193       3.0711       2.1425
     194       3.2905       2.1570
     195       3.0126       2.1326
     196       3.0394       1.9621
     197       3.0002       2.1750
     198       2.8846       1.9397
     199       2.8873       2.1590
     200       2.8790       2.1582
     201       2.9376       1.7133
     202       2.7307       1.8047
     203       2.8349       2.0412
     204       2.7549       2.2520
     205       2.7577       1.8474
     206       2.7690       1.9045
     207       2.8131       1.7337
     208       2.8777       1.7882
     209       3.0030       2.2316
     210       3.0550       2.2955
     211       2.8713       2.3962
     212       2.9343       2.3269
     213       2.9636       2.0003
     214       2.9675       2.6235
     215       3.0194       2.5901
     216       2.9253       2.1086
     217       2.9037       1.6825
     218       2.7324       2.3494
     219       2.6848       1.8136
     220       2.9250       2.4212
     221       2.9314       2.2990
     222       2.7540       1.8534
     223       2.7951       2.0503
     224       2.9682       2.3238
     225       2.8717       2.2094
     226       3.1672       2.2030
     227       2.8377       2.0677
     228       3.1425       2.0180
     229       3.1326       1.9214
     230       2.7568       2.5016
     231       2.7549       2.1455
     232       3.0253       2.1993
     233       3.2486       2.7306
     234       3.1368       2.1169
     235       3.1162       2.4044
     236       3.1122       2.3381
     237       3.4016       2.1126
     238       3.3895       2.1923
     239       3.4087       1.9570
     240       3.2122       1.7546
     241       3.0710       1.6954
     242       3.1573       2.1412
     243       3.1088       1.8612
     244       3.1988       1.6960
     245       3.2371       1.7296
     246       3.4595       1.8834
     247       3.3768       1.6102
     248       3.2307       2.0857
     249       3.5614       1.7695
     250       3.5204       2.1724
     251       3.5109       2.0800
     252       3.4794       2.1400
     253       3.5953       1.4713
     254       3.3658       1.6331
     255       3.4764       2.1514
     256       3.4138       1.8129
     257       3.4343       1.9863
     258       3.5010       2.2620
     259       3.5169       2.5266
     260       3.2062       1.5964
     261       3.0575       1.5517
     262       3.4563       1.4931
     263       3.5228       2.1876
     264       3.3937       2.1204
     265       3.3773       1.3869
     266       3.4369       1.8170
     267       3.2252       1.9457
     268       3.3166       1.7144
     269       3.3586       1.6759
     270       3.2884       1.6601
     271       3.3416       1.8531
     272       3.3559       1.9177
     273       3.3082       2.1609
     274       3.1353       1.7464
     275       3.3584       1.4750
     276       3.2593       1.7715
     277       3.4204       1.9721
     278       3.2480       1.9914
     279       3.1783       2.2347
     280       2.9725       1.8872
     281       2.8733       1.7170
     282       3.3104       2.5527
     283       3.3131       1.8706
     284       3.3054       1.6849
     285       3.3812       1.4725
     286       3.4322       1.5560
     287       3.3577       1.6869
     288       3.2958       1.6352
     289       3.1461       1.6265
     290       3.0582       1.4441
     291       2.9295       1.7136
     292       2.8141       1.4030
     293       2.8286       1.8232
     294       2.8715       1.6540
     295       3.0104       1.4727
     296       3.0808       1.1512
     297       3.1253       1.7340
     298       3.0780       1.4856
     299       3.0920       2.0071
     300       2.9828       1.4850
     301       3.1506       1.7727
     302       2.9772       1.7869
     303       2.8217       2.0981
     304       2.7667       1.7424
     305       3.1169       1.9687
     306       2.8768       1.8545
     307       2.6949       1.6934
     308       2.9151       2.2458
     309       2.7482       1.9535
     310       2.9683       1.6963
     311       2.8973       1.8776
     312       2.8725       1.8160
     313       2.6738       1.4327
     314       2.7240       1.7872
     315       2.8031       2.0139
     316       2.9352       1.8657
     317       3.0245       2.2112
     318       2.7394       1.5813
     319       2.9704       2.2022
     320       2.8905       1.7234
     321       2.8676       1.6498
     322       2.9874       2.2505
     323       3.0333       2.0886
     324       3.1883       2.2600
     325       2.8115       2.0406
     326       2.8934       1.5204
     327       2.9423       1.4457
     328       3.0305       1.5293
     329       3.0245       1.8115
     330       2.9654       1.7504
     331       2.8999       2.3188
     332       2.8878       1.8029
     333       2.8562       1.6773
     334       2.9223       1.9276
     335       3.0282       2.3069
     336       3.2189       2.0405
     337       3.1277       2.2228
     338       2.9476       1.7071
     339       2.9119       1.5981
     340       2.8319       1.5419
     341       3.1637       1.7726
     342       3.0387       2.1257
     343       3.0098       1.9825
     344       3.3137       1.8100
     345       3.0630       1.9827
     346       3.0409       1.5792
     347       3.1265       1.7431
     348       3.0129       2.0427
     349       2.8959       1.9456
     350       3.0600       1.8954
     351       3.2135       2.4397
     352       3.0623       2.2300
     353       2.9077       1.9510
     354       3.1569       2.0453
     355       3.0695       2.1629
     356       3.2910       2.0238
     357       3.2329       2.1661
     358       2.9480       1.7354
     359       3.3340       2.2112
     360       3.3307       2.2557
     361       3.1489       2.4336
     362       3.0253       1.9935
     363       3.3028       1.6465
     364       3.3369       1.8077
     365       3.1458       2.0483
     366       3.2937       2.0690
     367       3.2773       1.7733
     368       3.1553       1.8114
     369       3.2488       1.6726
     370       3.3514       2.2458
     371       3.1680       2.0015
     372       3.2151       1.9129
     373       3.1125       2.1643
     374       3.4168       2.0165
     375       3.2172       2.2720
     376       3.3469       1.9422
     377       3.4617       2.2178
     378       3.3215       1.7639
     379       3.3298       1.8267
     380       3.2635       1.8522
     381       3.2652       1.8829
     382       3.2632       1.5241
     383       3.3053       1.7926
     384       3.1694       1.8327
     385       3.2953       1.6621
     386       3.2048       1.3578
     387       3.3068       1.8223
     388       3.2807       1.8017
     389       3.4230       1.6257
     390       3.6020       1.8523
     391       3.6456       1.5221
     392       3.3759       1.3330
     393       3.4018       1.6897
     394       3.3668       1.8065
     395       3.4669       1.5306
     396       3.4848       1.2100
     397       3.3613       1.1372
     398       3.3372       1.1165
     399       3.3285       0.9663
     400       3.3529       1.2027
     401       3.5204       1.7593
     402       3.4803       1.2796
     403       3.4621       1.2259
     404       3.4145       1.7691
     405       3.7066       1.8499
     406       3.5973       1.3052
     407       3.3161       1.6790
     408       3.1886       1.2873
     409       3.1190       1.4869
     410       2.9951       1.3195
     411       3.1690       1.1596
     412       3.2450       1.7920
     413       3.1829       1.2860
     414       3.0244       1.3067
     415       3.2921       1.1993
     416       3.0939       1.3270
     417       3.2478       1.2147
     418       3.5237       1.3247
     419       3.4051       1.2694
     420       3.6653       0.9795
     421       3.1840       0.9783
     422       3.0364       1.4518
     423       3.2386       1.5086
     424       3.1826       1.9850
     425       3.1379       1.9539
     426       3.3324       2.2379
     427       3.2117       2.2365
     428       3.2013       1.4367
     429       3.6021       1.4929
     430       3.6416       1.6173
     431       3.6858       1.6823
     432       3.6416       2.1222
     433       3.7923       1.9537
     434       3.5832       2.0769
     435       3.5553       1.8082
     436       3.4628       1.5409
     437       3.4770       1.8173
     438       3.7527       1.2654
     439       3.6642       1.5931
     440       3.4824       2.4271
     441       3.1819       2.0014
     442       3.1381       1.5637
     443       3.2818       1.9449
     444       3.2577       1.8787
     445       3.1503       1.8062
     446       3.3276       1.7670
     447       3.3460       1.5331
     448       3.3875       0.9930
     449       3.8735       1.8684
     450       3.4855       1.5854
     451       3.2287       1.2585
     452       3.4334       1.2788
     453       3.3863       1.4503
     454       3.0787       2.0497
     455       3.2774       1.5290
     456       3.4214       1.9215
     457       3.2893       1.4056
     458       3.2603       2.2539
     459       3.3715       2.4897
     460       3.4095       1.9748
     461       3.3741       2.3106
     462       3.9619       2.2745
     463       3.5233       1.8478
     464       3.6622       1.2756
     465       3.8468       1.8705
     466       3.6493       1.5040
     467       3.8792       1.5605
     468       3.6409       1.2007
     469       3.4598       1.3643
     470       3.7404       1.6846
     471       3.9958       1.3948
     472       3.6645       1.3707
     473       3.8426       1.6422
     474       3.6047       1.9162
     475       4.1048       1.7571
     476       3.7358       1.5770
     477       3.4584       1.6723
     478       3.3754       1.4438
     479       3.2357       1.6196
     480       3.3395       1.4469
     481       3.0433       1.6959
     482       2.8505       1.2988
     483       2.9665       1.7908
     484       3.2043       1.2050
     485       3.3595       1.1645
     486       3.5191       1.4514
     487       3.4208       1.2728
     488       3.5096       1.3193
     489       3.2728       1.2170
     490       3.3864       1.2102
     491       3.3924       1.2196
     492       3.4333       1.4607
     493       3.4752       1.5901
     494       3.4705       2.1710
     495       3.6272       1.9118
     496       3.9303       2.0909
     497       3.8756       2.3304
     498       3.5516       2.0753
     499       3.9970       2.7661
     500       3.8528       2.4605
     501       3.6263       2.0184
     502       3.5079       2.0999
     503       3.4969       2.1309
     504       3.7107       2.0296
     505       3.9252       1.4999
     506       3.5755       2.1752
     507       3.3899       1.6562
