#Frame           SHP2       ligand
       1       0.0000       0.0000
       2       0.0806       0.1777
       3       0.1712       0.5429
       4       0.2770       0.2886
       5       0.7244       1.2917
       6       1.1671       1.3056
       7       1.4271       0.9011
       8       1.2719       0.9783
       9       1.7053       1.1194
      10       1.7804       1.0512
      11       1.9941       0.8284
      12       2.2462       0.7869
      13       1.7057       0.8486
      14       1.7542       0.6113
      15       1.6565       0.9986
      16       1.6890       0.7880
      17       1.7912       0.8180
      18       1.6388       0.7164
      19       1.7039       0.4542
      20       1.9759       0.8925
      21       1.7376       0.7276
      22       1.8589       1.0027
      23       1.7380       0.7887
      24       1.7106       0.6376
      25       1.7037       0.7538
