#Frame           SHP2       ligand
       1       0.0000       0.0000
       2       0.1770       0.6009
       3       0.1759       0.7192
       4       0.2929       0.4458
       5       0.2878       0.7384
       6       0.6246       1.4554
       7       0.6935       1.4454
       8       1.2133       1.3056
       9       1.1799       0.6492
      10       1.3317       1.0942
      11       1.2661       1.0262
      12       1.4255       1.2291
      13       1.2582       0.9205
      14       1.3630       1.0887
      15       1.4537       1.3164
      16       1.3732       1.4182
      17       1.3817       1.6814
      18       1.3985       1.5444
      19       1.2533       1.2997
      20       1.4573       1.5418
      21       1.3637       1.3362
      22       1.5300       1.5535
      23       1.6068       2.3966
      24       1.4634       2.7118
      25       1.4600       2.9302
      26       1.6150       2.8927
      27       1.6025       2.1333
      28       1.6000       3.3785
      29       1.5072       3.1845
      30       1.4867       1.8385
      31       1.6171       1.9236
      32       1.5995       1.6446
      33       1.7181       2.6371
      34       1.5285       2.3279
      35       1.5220       2.6044
      36       1.5635       3.0796
      37       1.5974       2.8747
      38       1.4836       2.4913
      39       1.5599       3.6775
      40       1.7881       2.9811
      41       1.6221       3.6512
      42       1.7695       3.9988
      43       1.8553       3.5292
      44       1.7253       3.8301
      45       1.8358       2.1968
      46       1.7912       1.6106
      47       2.0253       3.2691
      48       1.9640       3.8881
      49       2.0908       3.5888
      50       1.9413       3.9821
      51       2.0085       3.1073
      52       1.9260       3.2081
      53       1.8803       3.5150
      54       2.0745       4.1538
      55       2.3774       4.2541
      56       2.4732       4.3041
      57       2.6415       3.2414
      58       2.5551       3.3494
      59       2.6077       3.1632
      60       2.3808       2.8537
      61       2.6824       2.4778
      62       3.0902       2.3187
      63       2.8010       2.4469
      64       2.8754       3.2818
      65       2.5928       2.7446
      66       2.4562       2.5749
      67       2.6997       3.3075
      68       2.5444       2.4754
      69       2.4083       2.7860
      70       2.6162       3.3577
      71       2.7678       2.6227
      72       2.4952       2.4529
      73       2.7415       2.3279
      74       2.6677       1.5668
      75       2.9001       1.3649
      76       2.8484       1.5098
      77       2.8970       1.5337
      78       2.8885       1.9008
      79       2.8486       2.4022
      80       2.5704       3.2346
      81       2.6234       1.9681
      82       2.8268       1.8585
      83       2.5445       1.9400
      84       2.5981       1.5718
      85       2.6457       1.9412
      86       2.5857       1.6354
      87       2.4941       1.9064
      88       2.3788       1.8918
      89       2.3430       1.5595
      90       2.3368       1.9844
      91       2.3690       1.5489
      92       2.3057       1.6129
      93       2.1945       1.6539
      94       2.0916       1.6663
      95       2.1712       1.6633
      96       2.3329       1.8363
      97       2.1927       1.5085
      98       2.2827       1.7713
      99       2.3787       2.0787
     100       2.2963       2.2677
     101       2.3640       1.8253
     102       2.2856       1.7188
     103       2.2827       2.3115
     104       2.4517       2.3424
     105       2.5285       2.3955
     106       2.5674       2.8277
     107       2.5673       2.2353
     108       2.4990       1.9236
     109       2.6121       1.9871
     110       2.5878       2.3229
     111       2.8072       1.6376
     112       2.6997       1.7730
