#Frame           SHP2       ligand
       1       0.0000       0.0000
       2       0.0801       0.1443
       3       0.1699       0.6285
       4       0.2746       0.5530
       5       0.7201       2.7153
       6       1.1519       2.5066
       7       1.3619       2.3401
       8       1.6038       2.5378
       9       1.5223       2.2788
      10       1.5477       2.8803
      11       1.6305       2.6008
      12       1.5903       2.7594
      13       1.6831       2.3316
      14       1.5700       2.9723
      15       1.6303       2.9555
      16       1.6397       2.6859
      17       1.9831       2.7975
      18       1.6456       3.0104
      19       1.9111       2.8209
      20       1.6941       2.1014
      21       1.7616       2.3959
      22       2.0937       2.7940
      23       1.8585       2.8304
      24       1.8865       2.7727
      25       1.9849       2.9026
