#Frame           SHP2       ligand
       1       0.0000       0.0000
       2       0.0597       0.1260
       3       0.1513       0.5368
       4       0.2758       0.5703
       5       0.8420       0.7398
       6       1.2522       0.7554
       7       1.4258       1.1867
       8       1.9240       2.0660
       9       1.7012       0.6632
      10       1.8550       0.6483
      11       1.8235       0.9121
      12       1.8982       0.6615
      13       1.8044       0.5433
      14       1.6412       0.5030
      15       1.7306       0.6566
      16       1.8948       1.2878
      17       1.8993       0.6885
      18       1.8952       0.7744
      19       1.8938       0.7640
      20       2.1546       1.2791
      21       1.9645       1.1806
      22       1.7268       1.0248
      23       1.7401       0.8819
      24       1.8273       0.4912
      25       1.6431       0.6584
