#Frame           SHP2       ligand
       1       0.0000       0.0000
       2       0.1814       0.4901
       3       0.1739       0.5002
       4       0.2866       0.3865
       5       0.2833       0.4179
       6       0.7224       0.7479
       7       0.7682       0.4599
       8       1.0348       0.7359
       9       1.0881       0.6781
      10       1.3302       0.7210
      11       1.2619       0.6357
      12       1.5326       0.6811
      13       1.3366       0.9210
      14       1.3200       0.7148
      15       1.4234       0.7289
      16       1.3746       0.8348
      17       1.2934       0.6984
      18       1.3968       0.8886
      19       1.3533       0.5774
      20       1.1521       0.6015
      21       1.3449       0.8810
      22       1.4986       0.8547
      23       1.6564       0.8747
      24       1.4263       0.9396
      25       1.5102       0.9906
      26       1.6002       0.7991
      27       1.6994       1.1015
      28       1.4851       0.9379
      29       1.6759       1.3792
      30       1.6574       1.2178
      31       1.6205       1.3271
      32       1.5818       0.9101
      33       1.5990       1.0673
      34       1.7954       1.0738
      35       1.8606       1.0950
      36       1.8128       0.9727
      37       1.8285       1.3222
      38       1.6402       1.1344
      39       1.6844       0.9861
      40       1.8886       1.0202
      41       2.0807       1.1160
      42       2.0478       0.9476
      43       1.9308       0.9619
      44       1.9711       0.8630
      45       1.8434       1.2363
      46       2.0990       0.9442
      47       1.9110       1.5588
      48       1.9511       1.0483
      49       1.9617       0.9009
      50       2.0562       0.8759
      51       2.0364       0.7697
      52       1.9315       0.8246
      53       1.8617       1.0580
      54       2.1481       1.4208
      55       1.9870       1.0500
      56       1.9126       1.0251
      57       1.8141       0.7991
      58       1.7579       0.8732
      59       1.7904       0.9235
      60       1.7509       1.1863
      61       1.8028       0.7852
      62       1.8861       1.5194
      63       1.7286       1.3079
      64       1.8404       1.6592
      65       1.8374       0.8780
      66       1.9822       1.1426
      67       2.1765       1.6592
      68       2.2690       1.9304
      69       2.2327       1.1462
      70       2.4160       0.4955
      71       2.2318       0.9372
      72       2.1504       0.9713
      73       1.9786       1.1175
      74       2.0488       1.2689
      75       1.9610       1.8741
      76       2.0752       1.3444
      77       2.0730       1.2890
      78       2.1046       1.1112
      79       2.1934       1.6263
      80       2.0432       1.3439
      81       2.3395       0.7535
      82       2.4220       1.1999
      83       2.0587       1.0995
      84       2.1028       0.4999
      85       1.9619       1.7038
      86       1.9191       1.2199
      87       1.9789       1.8986
      88       1.9600       0.9269
      89       2.1079       1.0049
      90       2.1208       1.0741
      91       2.2304       1.2451
      92       1.9084       0.7401
      93       2.0474       1.1663
      94       2.1863       1.8378
      95       2.1628       0.9670
      96       2.0586       0.7772
      97       2.0444       0.6132
      98       2.1699       1.1231
      99       2.0074       1.0828
     100       2.0407       0.9410
     101       2.4636       1.2001
     102       2.4186       1.4662
     103       2.4102       1.3787
     104       2.3403       1.3228
     105       2.5196       0.8721
     106       2.3025       0.6492
     107       2.3752       0.7880
     108       2.1893       0.7401
     109       2.2296       1.0659
     110       2.2324       1.2495
     111       2.2277       1.1736
     112       2.2996       1.6228
     113       2.0759       1.0009
     114       2.3102       1.4456
     115       2.2107       1.2111
     116       2.2476       1.5078
     117       2.1501       0.9766
     118       2.4477       1.0645
     119       2.4959       1.3413
     120       2.4489       0.6193
     121       2.4448       1.6690
     122       2.3818       1.9049
     123       2.5593       1.7694
     124       2.4741       1.6944
     125       2.6547       1.0716
     126       2.7042       1.0494
     127       2.3889       1.0061
     128       2.5502       0.8881
     129       2.5445       1.5699
     130       2.2858       1.3002
     131       2.5611       1.1546
     132       2.5457       1.1970
     133       2.6849       1.2711
     134       2.7441       1.6856
     135       2.3413       1.8163
     136       2.4296       2.3984
     137       2.2930       1.2493
     138       2.1574       1.2959
     139       2.1819       1.6667
     140       2.1082       1.5813
     141       2.2448       2.2048
     142       2.4660       1.7716
     143       2.6952       1.6553
     144       2.5553       1.9882
     145       2.3426       1.8979
     146       2.2733       1.5353
     147       2.5294       1.5790
     148       2.3756       1.6529
     149       2.2350       1.4597
     150       2.1018       1.3442
     151       2.1485       1.7791
     152       2.3672       1.6592
     153       2.4542       1.6414
     154       2.4720       2.0100
     155       2.3108       1.4122
     156       2.4129       2.1035
     157       2.4426       1.4910
     158       2.5791       2.1545
     159       2.4355       1.2990
     160       2.5173       1.1843
     161       2.4909       1.8746
     162       2.5044       1.5228
     163       2.4003       1.2133
     164       2.3710       1.2736
     165       2.3623       1.6642
     166       2.3486       1.4958
     167       2.4876       1.9443
     168       2.3818       2.3406
     169       2.4953       2.2108
     170       2.4565       1.8146
     171       2.6138       2.5354
     172       2.6231       2.0120
     173       2.8176       1.9790
     174       2.6536       1.7390
     175       2.6722       2.1362
     176       2.7641       1.7720
     177       2.6553       1.5534
     178       2.7948       1.9478
     179       2.5170       1.7096
     180       2.8427       2.3731
     181       2.6846       2.0333
     182       3.0191       2.1889
     183       2.8639       1.4978
     184       3.0402       1.6840
     185       3.1203       1.5195
     186       3.0572       1.3191
     187       2.9470       2.5274
     188       2.7724       1.5187
     189       2.8516       1.9262
     190       2.8261       1.5721
     191       3.0155       1.7383
     192       2.8763       1.5208
     193       2.9123       1.5444
     194       2.7886       1.5941
     195       2.7908       1.5145
     196       2.9442       1.8548
     197       2.9218       1.1181
     198       2.9555       0.9467
     199       2.8799       1.5196
     200       2.9851       1.5489
     201       3.0477       1.4159
     202       3.0858       1.4062
     203       3.4617       1.2158
     204       3.2531       1.1419
     205       3.2546       1.5512
     206       3.1781       1.9539
     207       3.0049       1.6761
     208       3.0251       1.3483
     209       2.8445       1.9657
     210       3.0021       1.6087
     211       2.9962       1.6517
     212       2.7369       1.4423
     213       3.0022       1.8232
     214       2.7970       1.9141
     215       3.0938       1.6931
     216       3.2122       1.6843
     217       3.2537       2.6679
     218       3.3410       2.1474
     219       3.1109       1.5242
     220       3.2959       1.5333
     221       3.3388       1.6073
     222       3.2925       1.9143
     223       3.5280       1.6310
     224       3.4277       1.6860
     225       3.4942       1.7979
     226       3.0934       1.7052
     227       3.1312       1.8959
     228       3.1024       1.8263
     229       3.5056       1.2576
     230       3.2868       1.4670
     231       3.1315       1.6309
     232       2.9631       1.7003
     233       3.0206       1.6493
     234       2.9771       2.0136
     235       2.8592       2.5581
     236       2.9031       1.6674
     237       2.8339       2.1939
     238       2.7722       2.6432
     239       2.9671       2.7170
     240       2.9097       2.3097
     241       2.8377       2.5365
     242       2.8090       2.1705
     243       2.8150       1.6182
     244       2.8801       1.7911
     245       3.0294       1.5205
     246       2.8496       1.5441
     247       2.8548       1.2227
     248       2.7623       1.6707
     249       2.8233       1.1911
     250       2.9461       2.1184
     251       2.9206       1.1130
     252       2.7231       1.5302
     253       2.4824       1.3577
     254       2.8621       1.3772
     255       2.9569       1.3419
     256       2.7227       1.5768
     257       2.9891       1.3310
     258       3.1004       2.1338
     259       2.7110       1.4689
     260       2.8388       1.6087
     261       3.1429       1.9828
     262       3.0632       1.4915
     263       3.0676       1.5972
     264       3.1827       1.9291
     265       3.0848       1.4935
     266       3.2029       2.2954
     267       3.2216       2.5857
     268       3.2262       2.0466
     269       2.8564       1.8403
     270       3.0195       1.5772
     271       2.9830       1.5909
     272       3.0851       1.9257
     273       3.2072       2.4382
     274       3.2598       2.4129
     275       3.0885       1.6722
     276       3.4004       2.5415
     277       3.2655       2.5395
     278       3.1278       2.2358
     279       3.2968       1.2881
     280       3.1557       1.6844
     281       3.4659       1.4729
     282       3.5322       1.5920
     283       3.1676       1.6373
     284       3.2073       1.3987
     285       3.3420       1.9025
     286       3.3181       2.1959
     287       3.4263       1.8691
     288       3.3273       1.7202
     289       3.4662       1.9173
     290       3.7517       1.7713
     291       3.6197       2.6810
     292       3.3490       2.4098
     293       3.4184       2.7400
     294       3.3822       2.0593
     295       3.5696       2.6741
     296       3.8457       2.1640
     297       3.7338       2.6864
     298       3.7117       2.9107
     299       3.9335       2.5298
     300       3.6272       2.7435
     301       3.5763       2.1088
     302       3.7052       2.4964
     303       3.7690       1.5130
     304       3.8527       2.1517
     305       4.0621       2.1824
     306       3.8192       2.0707
     307       3.9532       2.2892
     308       4.1710       3.5973
     309       3.9335       3.1752
     310       3.9194       2.6400
     311       3.6480       1.7039
     312       3.8659       2.8711
     313       3.5022       2.9511
     314       3.7082       2.2414
     315       3.6995       2.4512
     316       3.3580       2.5972
     317       3.8144       2.9546
     318       3.8632       2.5711
     319       3.7526       1.9107
     320       3.9207       1.7875
     321       3.7177       1.5383
     322       3.3436       1.8791
     323       3.5784       1.7386
     324       3.4663       2.0661
     325       3.4728       2.0669
     326       3.2473       1.7293
     327       3.1870       1.7501
     328       3.1116       1.9569
     329       3.3040       1.5882
     330       3.4340       1.7095
     331       3.2897       1.6859
     332       3.3585       2.1276
     333       3.3631       2.8247
     334       3.2659       2.5298
     335       3.4390       3.2539
     336       3.5489       2.5839
     337       3.5275       2.7916
     338       3.9590       3.2409
     339       3.7279       3.3780
     340       3.7863       3.4866
     341       3.7702       2.8638
     342       3.7025       3.0984
     343       4.3856       5.6057
     344       4.4133       4.9119
     345       4.0316       4.0565
     346       4.2820       5.5559
     347       4.3244       4.5374
     348       4.1681       4.2800
     349       3.8598       4.6383
     350       3.9398       4.3346
     351       4.0801       5.3534
     352       4.0855       4.4176
     353       4.3747       4.8229
     354       3.9597       4.5707
     355       4.0478       3.8647
     356       4.5549       4.7583
     357       3.9742       3.9146
     358       3.9552       3.9628
     359       3.8314       4.2289
     360       3.8057       3.0126
     361       3.6654       3.1691
     362       3.6925       4.1413
     363       3.6414       4.2127
     364       3.7533       4.1277
     365       3.9301       4.8823
     366       4.1359       4.3861
     367       4.0644       3.8927
     368       3.9772       3.9598
     369       3.8879       3.6689
     370       3.8110       4.5270
     371       3.7409       3.9520
     372       3.9849       4.6876
     373       3.8255       4.1691
     374       3.8718       3.6290
     375       3.8338       3.8636
     376       4.0237       4.1601
     377       4.0997       4.0288
     378       4.3317       4.5489
     379       4.1273       4.0555
     380       3.9122       4.3243
     381       4.0378       4.8251
     382       4.2013       4.9863
     383       4.4791       3.9447
     384       4.5288       5.0607
     385       4.3686       4.9416
     386       4.4169       4.8695
     387       4.2615       4.5773
     388       4.7750       5.2603
     389       4.6936       5.0079
     390       4.8521       4.9059
     391       4.5321       4.7026
     392       4.4577       5.0955
     393       4.6558       4.7333
     394       4.2626       5.1496
     395       4.2456       4.6595
     396       4.3438       3.8451
     397       4.2500       3.9222
     398       4.2466       3.3568
     399       4.2019       1.9909
     400       4.0182       2.2197
     401       4.1201       1.9115
     402       4.2479       2.2879
     403       3.9976       1.9292
     404       4.2088       1.5406
     405       3.9512       1.5666
     406       3.7689       1.9310
     407       4.1066       2.3923
     408       4.1507       1.4706
     409       4.1901       2.8232
     410       4.1416       2.9674
     411       4.1268       3.2018
