#Frame           SHP2       ligand
       1       0.0000       0.0000
       2       0.0961       0.1377
       3       0.1849       0.5707
       4       0.2997       0.5334
       5       0.7861       0.7524
       6       1.5564       0.5597
       7       1.5097       0.8110
       8       1.5302       0.9634
       9       1.6105       1.0663
      10       1.4542       0.7613
      11       1.7626       0.6535
      12       1.7307       1.0049
      13       2.1972       0.8876
      14       1.8274       1.1485
      15       1.6228       0.8200
      16       1.8123       0.7153
      17       2.1314       0.8932
      18       1.9522       0.7265
      19       2.1558       0.9847
      20       1.9262       0.6061
      21       1.9830       0.8244
      22       1.8692       0.8474
      23       1.8367       0.5787
      24       2.0888       1.1422
      25       2.3211       1.5076
